,INCIDENTNEIGHBORHOOD,OFFENSES
2415,Perry North,9497 Aided Case
2616,Perry North,9999 9999 - (Misc. Incident): 
890,Perry North,9994 PFA Service
118,Perry North,3304 Criminal Mischief.
886,Perry North,9999 9999 - (Misc. Incident): 
838,Perry North,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
2016,Perry North,9999 9999 - (Misc. Incident): 
2099,Perry North,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
1634,Perry North,9999 9999 - (Misc. Incident): 
277,Perry North,9994 PFA Service
1167,Perry North,9497 Aided Case
2821,Perry North,2709(a) Harassment.
2890,Perry North,13(a)(32) Paraphernalia - Use or Possession / 3802(a)(1) DUI - General Impairment
733,Perry North,3934 Theft from Vehicle
1031,Perry North,3714 Careless Driving / 7124 Fraudulent Use or Removal of Registration Plates / 3802(a)(1) DUI - General Impairment / 1543 Driving While Operating Privilege is Suspended or Revoked.
1546,Perry North,2709 Harassment (Non-Specific)
1979,Perry North,9489 Found Property
1260,Perry North,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3934 Theft from Vehicle
2899,Perry North,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2726,Perry South,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.
1541,Perry South,3934 Theft from Vehicle
1277,Perry South,3921 Theft by Unlawful Taking or Disposition.
10,Perry South,3743 Accidents Involving Damage to Attended Veh. or Property
2338,Perry South,13(a)(31) Marijuana: Possession Small Amount
905,Perry South,9999 9999 - (Misc. Incident): 
1034,Perry South,9994 PFA Service
1035,Perry South,3934 Theft from Vehicle / 5104 Resisting Arrest or Other Law Enforcement. / 5507 Obstructing Highways and Passages. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises / 903 Criminal Conspiracy.
1042,Perry South,9496 Dead on Arrival (DOA)
1062,Perry South,9496 Dead on Arrival (DOA)
1063,Perry South,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2842,Perry South,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.
32,Perry South,2709(a) Harassment. / 2706 Terroristic Threats.
2822,Perry South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2816,Perry South,3922 Theft by Deception. / 4106 Access Device Fraud
1442,Perry South,9999 9999 - (Misc. Incident): 
685,Perry South,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
46,Perry South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1274,Perry South,3921 Theft by Unlawful Taking or Disposition.
1275,Perry South,3921 Theft by Unlawful Taking or Disposition.
2774,Perry South,9090 Recovered Firearm
1445,Perry South,3304 Criminal Mischief.
1476,Perry South,2701 Simple Assault. / 3928 Unauthorized Use of Automobile and Other Vehicles.
1893,Perry South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2055,Perry South,9093 Indirect Criminal Contempt
2005,Perry South,9496 Dead on Arrival (DOA)
1675,Perry South,9496 Dead on Arrival (DOA)
1669,Perry South,2701 Simple Assault. / 3928 Unauthorized Use of Automobile and Other Vehicles.
139,Perry South,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
2068,Perry South,4120 Identity Theft
109,Perry South,9999 9999 - (Misc. Incident): 
2127,Perry South,2709 Harassment (Non-Specific)
1612,Perry South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2133,Perry South,9497 Aided Case
606,Perry South,3934 Theft from Vehicle
2431,Perry South,3743 Accidents Involving Damage to Attended Veh. or Property
1781,Perry South,9993 PFA Service with Weapons Supplement
1540,Perry South,9994 PFA Service
2569,Perry South,2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
310,Perry South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
207,Perry South,9129 Miscellaneous Investigation
2235,Perry South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2035,Point Breeze,9489 Found Property
1769,Point Breeze,9999 9999 - (Misc. Incident): 
2798,Point Breeze,9490 Missing Persons (18 and Over)
2043,Point Breeze,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
1763,Point Breeze,9496 Dead on Arrival (DOA)
1265,Point Breeze,2706 Terroristic Threats. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
2615,Point Breeze,9489 Found Property
1314,Point Breeze,3743 Accidents Involving Damage to Attended Veh. or Property
647,Point Breeze,9497 Aided Case
941,Point Breeze,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1824,Point Breeze,2701 Simple Assault.
2109,Point Breeze,3929 Retail Theft.
1415,Point Breeze,2706 Terroristic Threats. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
2432,Point Breeze,3745 Accidents Involving Damage to Unattended Veh.or Prop.
810,Point Breeze,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
2848,Point Breeze,9497 Aided Case
992,Point Breeze,3928 Unauthorized Use of Automobile and Other Vehicles.
2502,Point Breeze,9498 302 (Mental)
2505,Point Breeze North,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4703 Operation of Vehicle without Official Certif. of Inspection / 4524 Windshield Obstructions and Wipers.
392,Point Breeze North,9498 302 (Mental)
607,Point Breeze North,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose / 5503 Disorderly Conduct.
1901,Point Breeze North,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
2091,Point Breeze North,9504 Lost Property
2446,Point Breeze North,2706 Terroristic Threats.
2940,Point Breeze North,9497 Aided Case
371,Point Breeze North,9999 9999 - (Misc. Incident): 
17,Point Breeze North,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose / 5503 Disorderly Conduct.
287,Point Breeze North,9498 302 (Mental)
2404,Point Breeze North,9498 302 (Mental)
152,Point Breeze North,9498 302 (Mental)
2694,Point Breeze North,3929 Retail Theft.
681,Point Breeze North,2709(a) Harassment.
1251,Point Breeze North,9999 9999 - (Misc. Incident): 
2276,Point Breeze North,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 1301 Registration and Certificate of Title Required. / 4524 Windshield Obstructions and Wipers.
251,Point Breeze North,9999 9999 - (Misc. Incident): 
2180,Point Breeze North,2706 Terroristic Threats. / 2709(a)(4) Harassment Communicates Prohibited Acts
1742,Polish Hill,9496 Dead on Arrival (DOA)
151,Polish Hill,3921(a) Theft by Unlawful Taking or Disposition - Movable item
839,Polish Hill,9490 Missing Persons (18 and Over)
2598,Polish Hill,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud / 4120 Identity Theft
1921,Regent Square,9090 Recovered Firearm
1524,Regent Square,9490 Missing Persons (18 and Over)
83,Shadyside,3929 Retail Theft.
2553,Shadyside,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
2942,Shadyside,4106 Access Device Fraud
2730,Shadyside,3934 Theft from Vehicle
2929,Shadyside,9496 Dead on Arrival (DOA)
2658,Shadyside,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2892,Shadyside,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s)
2635,Shadyside,3934 Theft from Vehicle / 3304 Criminal Mischief.
2392,Shadyside,"3929 Retail Theft. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2761,Shadyside,3922 Theft by Deception.
2544,Shadyside,3929 Retail Theft.
2454,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 903 Criminal Conspiracy.
201,Shadyside,9498 302 (Mental)
2356,Shadyside,9999 9999 - (Misc. Incident): Fire had to force entry into building to fix carbon monoxide alarm. 
2804,Shadyside,9490 Missing Persons (18 and Over)
2562,Shadyside,9999 9999 - (Misc. Incident): 
74,Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2419,Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1889,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
457,Shadyside,3701 Robbery. / 2701 Simple Assault.
1564,Shadyside,9501 Bench Warrant
1554,Shadyside,9490 Missing Persons (18 and Over)
271,Shadyside,9490 Missing Persons (18 and Over)
1945,Shadyside,3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
705,Shadyside,9999 9999 - (Misc. Incident): 
991,Shadyside,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
2241,Shadyside,4106 Access Device Fraud
1436,Shadyside,3502 Burglary. / 3304 Criminal Mischief.
1965,Shadyside,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.
1422,Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3744 Duty to Give Information and Render Aid
2224,Shadyside,3743 Accidents Involving Damage to Attended Veh. or Property
1395,Shadyside,9999 9999 - (Misc. Incident): Victim Identification of Actor from Prior Crime
1378,Shadyside,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 903 Criminal Conspiracy."
1367,Shadyside,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
2199,Shadyside,3502 Burglary. / 3304 Criminal Mischief.
2198,Shadyside,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3503(a) Criminal Trespass
372,Shadyside,9999 9999 - (Misc. Incident): 
2010,Shadyside,3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants)
367,Shadyside,9999 9999 - (Misc. Incident): Fatal Crash
2061,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1198,Shadyside,3934 Theft from Vehicle
319,Shadyside,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
2090,Shadyside,2709(a)(3) Harassment No Legitimate Purpose / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours
2149,Shadyside,3934 Theft from Vehicle
1171,Shadyside,9998 Overdose Other
1888,Shadyside,9999 9999 - (Misc. Incident): Struck Unoccupied Vehicle
788,Shadyside,9498 302 (Mental)
610,Shadyside,3934 Theft from Vehicle / 3304 Criminal Mischief.
1820,Shadyside,8106 Shots Fired
459,Shadyside,3929 Retail Theft.
1790,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
468,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
841,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2328,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2321,Shadyside,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
1733,Shadyside,3929 Retail Theft.
488,Shadyside,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
489,Shadyside,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
426,Shadyside,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
1830,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1722,Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1682,Shadyside,3934 Theft from Vehicle / 3304 Criminal Mischief.
1147,Shadyside,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
910,Shadyside,3304 Criminal Mischief.
432,Shadyside,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2709(a)(4) Harassment Communicates Prohibited Acts"
888,Shadyside,3304 Criminal Mischief.
519,Shadyside,3929 Retail Theft.
529,Sheraden,9498 302 (Mental)
2586,Sheraden,8106 Shots Fired
2799,Sheraden,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 4952 Intimidation of Witnesses or Victims / 2706 Terroristic Threats. / 907 Possessing Instruments of Crime. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck"
458,Sheraden,3743 Accidents Involving Damage to Attended Veh. or Property
179,Sheraden,3745 Accidents Involving Damage to Unattended Veh.or Prop.
352,Sheraden,8106 Shots Fired
2059,Sheraden,9497 Aided Case
1163,Sheraden,3921 Theft by Unlawful Taking or Disposition.
117,Sheraden,4906 False Reports to Law Enforcement Authorities.
484,Sheraden,9093 Indirect Criminal Contempt
181,Sheraden,3922 Theft by Deception.
689,Sheraden,9999 9999 - (Misc. Incident): Putting Down Injured Deer
1795,Sheraden,9496 Dead on Arrival (DOA)
1579,Sheraden,9497 Aided Case
1177,Sheraden,9999 9999 - (Misc. Incident): 
1201,Sheraden,3304 Criminal Mischief.
613,Sheraden,3502 Burglary.
1347,Sheraden,3928 Unauthorized Use of Automobile and Other Vehicles.
1349,Sheraden,3502 Burglary.
513,Sheraden,2701 Simple Assault. / 3503 Criminal Trespass
1959,Sheraden,3743 Accidents Involving Damage to Attended Veh. or Property
614,Sheraden,9489 Found Property
2501,Sheraden,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud
125,Sheraden,3743 Accidents Involving Damage to Attended Veh. or Property
1647,Sheraden,9498 302 (Mental)
2704,Sheraden,029 Missing Juvenile
1530,Sheraden,2709 Harassment (Non-Specific)
623,Sheraden,9994 PFA Service
2603,Sheraden,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2686,Sheraden,029 Missing Juvenile
1993,Sheraden,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1904,Sheraden,9497 Aided Case
1999,Sheraden,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1527,Sheraden,3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License.
1898,Sheraden,8106 Shots Fired
1976,Sheraden,9999 9999 - (Misc. Incident): abandoned building search
1885,Sheraden,9497 Aided Case
829,Sheraden,2702 Aggravated Assault.
742,Sheraden,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 4952 Intimidation of Witnesses or Victims / 2706 Terroristic Threats. / 907 Possessing Instruments of Crime. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck"
2422,Sheraden,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner
2192,Sheraden,3744 Duty to Give Information and Render Aid
2876,Sheraden,3304 Criminal Mischief.
2175,Sheraden,8106 Shots Fired
2872,Sheraden,8106 Shots Fired
875,Sheraden,2701 Simple Assault.
1000,Sheraden,9994 PFA Service
807,Sheraden,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2213,Sheraden,9093 Indirect Criminal Contempt
756,Sheraden,8106 Shots Fired
1053,Sheraden,3304 Criminal Mischief.
2410,Sheraden,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1055,Sheraden,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
2184,Sheraden,3921 Theft by Unlawful Taking or Disposition.
927,Sheraden,9999 9999 - (Misc. Incident): 
720,Sheraden,"3921 Theft by Unlawful Taking or Disposition. / 2709(a)(3) Harassment No Legitimate Purpose / 4953 Retaliation Against Witness,Victim or Party."
215,Sheraden,9498 302 (Mental)
2257,Sheraden,9498 302 (Mental)
2388,Sheraden,9997 Overdose Death
205,Sheraden,8106 Shots Fired
261,Sheraden,9994 PFA Service
962,Sheraden,2709(a) Harassment.
2248,Sheraden,9994 PFA Service
2142,Sheraden,2701 Simple Assault.
2891,Sheraden,3921(a) Theft by Unlawful Taking or Disposition - Movable item
857,Sheraden,3502 Burglary. / 2709(a) Harassment. / 3304 Criminal Mischief.
2433,Sheraden,8106 Shots Fired
1112,Sheraden,8106 Shots Fired
2157,South Oakland,3503(a) Criminal Trespass
1778,South Oakland,"3701 Robbery. / 2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck / 907 Possessing Instruments of Crime. / 2701(a)(2) Simple Asslt - Neg. Cause Bod. Harm Deadly Weap."
2947,South Oakland,9504 Lost Property
2370,South Oakland,3743 Accidents Involving Damage to Attended Veh. or Property
473,South Oakland,4106 Access Device Fraud
2345,South Oakland,3743 Accidents Involving Damage to Attended Veh. or Property
358,South Oakland,9498 302 (Mental)
2048,South Oakland,9998 Overdose Other
2869,South Oakland,3502 Burglary. / 3304 Criminal Mischief. / 901 Criminal Attempt
880,South Oakland,9999 9999 - (Misc. Incident): 
2896,South Oakland,3304 Criminal Mischief.
2452,South Oakland,9017 Found Drugs
2319,South Oakland,9489 Found Property
2611,South Oakland,2706 Terroristic Threats. / 2701 Simple Assault.
954,South Shore,425.26 Miscellaneous
996,South Shore,3743 Accidents Involving Damage to Attended Veh. or Property
409,South Shore,9999 9999 - (Misc. Incident): 
1727,South Shore,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault. / 3304 Criminal Mischief.
2085,South Shore,9999 9999 - (Misc. Incident): 
842,South Shore,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2472,South Shore,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3714 Careless Driving / 3802(a)(1) DUI - General Impairment
650,South Shore,3921 Theft by Unlawful Taking or Disposition.
2354,South Shore,9999 9999 - (Misc. Incident): 
867,South Shore,9497 Aided Case
2021,South Shore,3921 Theft by Unlawful Taking or Disposition.
646,South Shore,3743 Accidents Involving Damage to Attended Veh. or Property
780,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
972,South Side Flats,9497 Aided Case
2937,South Side Flats,"601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place"
835,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
834,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
849,South Side Flats,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 627.02(b)(ii) Smoking a small amount of marijuana in any public space
1591,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
980,South Side Flats,2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
1736,South Side Flats,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3802(a)(1) DUI - General Impairment
129,South Side Flats,2706 Terroristic Threats. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 5101 Obstructing Admin. of Law  / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 9999 (Misc. Crime): 5104.2 Evading Arrest or Detention on Foot
1752,South Side Flats,9504 Lost Property
114,South Side Flats,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
1645,South Side Flats,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2657,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1593,South Side Flats,3925 Receiving Stolen Property.
1718,South Side Flats,9497 Aided Case
2650,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
881,South Side Flats,2702 Aggravated Assault.
933,South Side Flats,5507 Obstructing Highways and Passages. / 5503 Disorderly Conduct. / 9501 Bench Warrant / 602.04 Panhandling and Prohibited Conduct
1619,South Side Flats,9497 Aided Case
926,South Side Flats,2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
1674,South Side Flats,9999 9999 - (Misc. Incident): 
2642,South Side Flats,5505 Public Drunkenness
2640,South Side Flats,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
571,South Side Flats,3921 Theft by Unlawful Taking or Disposition.
903,South Side Flats,9504 Lost Property
870,South Side Flats,3502 Burglary.
887,South Side Flats,9490 Missing Persons (18 and Over)
718,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
102,South Side Flats,9498 302 (Mental)
2779,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1290,South Side Flats,9501 Bench Warrant / 1332 Display of Registration Plate. / 1543 Driving While Operating Privilege is Suspended or Revoked.
1288,South Side Flats,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
1287,South Side Flats,3701 Robbery. / 2706 Terroristic Threats.
1267,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1238,South Side Flats,"3929 Retail Theft. / 5126 Flight to Avoid Apprehension, Trial or Punishment."
1059,South Side Flats,3304 Criminal Mischief.
1217,South Side Flats,3929 Retail Theft.
27,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
1213,South Side Flats,9129 Miscellaneous Investigation
1070,South Side Flats,9501 Bench Warrant
1071,South Side Flats,9122 Miscellaneous Fire Vehicle Investigation to Continue
1082,South Side Flats,2701 Simple Assault.
693,South Side Flats,3934 Theft from Vehicle
1093,South Side Flats,3929 Retail Theft. / 3503.B1II DEF. TRESPASS POSTED
1178,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1098,South Side Flats,9490 Missing Persons (18 and Over)
1151,South Side Flats,9999 9999 - (Misc. Incident): 
1114,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1148,South Side Flats,3503(a) Criminal Trespass
722,South Side Flats,9999 9999 - (Misc. Incident): 
710,South Side Flats,9490 Missing Persons (18 and Over)
1140,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1309,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
576,South Side Flats,2702 Aggravated Assault. / 2701 Simple Assault.
2770,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1330,South Side Flats,2702 Aggravated Assault.
1516,South Side Flats,3921 Theft by Unlawful Taking or Disposition.
2690,South Side Flats,4106 Access Device Fraud
98,South Side Flats,9994 PFA Service
97,South Side Flats,9994 PFA Service
598,South Side Flats,3929 Retail Theft.
985,South Side Flats,2709(a) Harassment.
1461,South Side Flats,3701 Robbery.
1457,South Side Flats,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
608,South Side Flats,9501 Bench Warrant
764,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2721,South Side Flats,9490 Missing Persons (18 and Over)
762,South Side Flats,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 3304 Criminal Mischief. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
2867,South Side Flats,9496 Dead on Arrival (DOA)
1406,South Side Flats,5505 Public Drunkenness
1405,South Side Flats,3502 Burglary.
757,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1394,South Side Flats,3929 Retail Theft. / 3503.B1II DEF. TRESPASS POSTED
2744,South Side Flats,3736 Reckless Driving
1054,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1358,South Side Flats,9999 9999 - (Misc. Incident): 
640,South Side Flats,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
2858,South Side Flats,4915 Failure to Comply with Megans Law
1058,South Side Flats,3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
1327,South Side Flats,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
1229,South Side Flats,5104 Resisting Arrest or Other Law Enforcement. / 2701 Simple Assault.
231,South Side Flats,7507 Breach of Privacy by Using  Device without Consent.
532,South Side Flats,9489 Found Property
2112,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
2443,South Side Flats,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2102,South Side Flats,9501 Bench Warrant
2093,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
2081,South Side Flats,3934 Theft from Vehicle
345,South Side Flats,9489 Found Property
160,South Side Flats,3934 Theft from Vehicle / 3304 Criminal Mischief.
2060,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2057,South Side Flats,9123 Miscellaneous Fire Other Investigation to Continue
441,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
2041,South Side Flats,3714 Careless Driving / 3802(a)(1) DUI - General Impairment
2029,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
2546,South Side Flats,9492 Dog Bite
440,South Side Flats,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
2114,South Side Flats,2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.
2022,South Side Flats,9999 9999 - (Misc. Incident): 
1786,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
376,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
438,South Side Flats,9998 Overdose Other
380,South Side Flats,3921 Theft by Unlawful Taking or Disposition.
2493,South Side Flats,3304 Criminal Mischief. / 5505 Public Drunkenness
1972,South Side Flats,9498 302 (Mental)
1970,South Side Flats,9999 9999 - (Misc. Incident): 
1862,South Side Flats,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
389,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1879,South Side Flats,2701 Simple Assault. / 2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent
1952,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2512,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
394,South Side Flats,6106 Firearms not to be Carried without a License. / 3353 Prohibitions in Specified Places. / 1785 Proof of Financial Responsibility Following Accident.
1918,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
2011,South Side Flats,9498 302 (Mental)
2129,South Side Flats,2709(a)(3) Harassment No Legitimate Purpose
351,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
1809,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
1799,South Side Flats,601.16 Public Urination And Defecation
2302,South Side Flats,601.16 Public Urination And Defecation
2386,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1806,South Side Flats,2709(a) Harassment.
2434,South Side Flats,3922 Theft by Deception.
281,South Side Flats,3714 Careless Driving
2244,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2303,South Side Flats,601.16 Public Urination And Defecation
2362,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
2564,South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1803,South Side Flats,601.16 Public Urination And Defecation
2571,South Side Flats,3921 Theft by Unlawful Taking or Disposition.
2220,South Side Flats,"2706 Terroristic Threats. / 5505 Public Drunkenness / 5503 Disorderly Conduct. / 5507(a) Obstructing highway, railroad or public passage / 3503(b.1) Criminal Trespass - Simple Trespasser"
289,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2210,South Side Flats,9999 9999 - (Misc. Incident): 
1800,South Side Flats,601.16 Public Urination And Defecation
304,South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2177,South Side Flats,9999 9999 - (Misc. Incident): Fire investigation
2368,South Side Flats,2709(a) Harassment. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
2428,South Side Flats,3743 Accidents Involving Damage to Attended Veh. or Property
